PNODENAME,LAT,LON,ISO,NODETYPE
UN.MEABROOK23.0CPCL,42.62830257,-71.38362393,NEISO,GENERATOR
UN.MILLENUM16  MILN,42.1122,-72.0097,NEISO,GENERATOR
UN.GRAHAM  18.0MIS,44.824164,-68.705372,NEISO,GENERATOR
UN.ESSEX   34.5ESSD,44.48122232,-73.11305759,NEISO,GENERATOR
UN.TIVERTON18.0TIVR,41.6417,-71.17,NEISO,GENERATOR
UN.RUMFD_IP18.0RUMF,44.53134633,-70.52263865,NEISO,GENERATOR
UN.BLKSTONE21  BKS1,42.05966734,-71.51368103,NEISO,GENERATOR
UN.BLKSTONE21  BKS2,42.05969615,-71.51368094,NEISO,GENERATOR
UN.BUCKSPRT18.0BUCK,44.57472034,-68.80601496,NEISO,GENERATOR
UN.LAKE_RD 21  LRD1,41.87429866,-71.89557174,NEISO,GENERATOR
UN.LAKE_RD 21  LRD2,41.87429866,-71.89557174,NEISO,GENERATOR
UN.LAKE_RD 21  LRD3,41.87429866,-71.89557174,NEISO,GENERATOR
UN.WESTBRK 18.0WBRK,43.65680615,-70.37612588,NEISO,N/A
UN.WALNGFRD13.8WAL1,41.455391,-72.838322,NEISO,GENERATOR
UN.WALNGFRD13.8WAL2,41.455391,-72.838322,NEISO,GENERATOR
UN.WALNGFRD13.8WAL3,41.455391,-72.838322,NEISO,GENERATOR
UN.WALNGFRD13.8WAL4,41.455391,-72.838322,NEISO,GENERATOR
UN.WALNGFRD13.8WAL5,41.455391,-72.838322,NEISO,GENERATOR
UN.MILFD_CT21  MFD1,41.2239,-73.1,NEISO,GENERATOR
UN.MILFD_CT21  MFD2,41.2239,-73.1,NEISO,GENERATOR
UN.BELL_30321  BEL1,42.10926,-71.451832,NEISO,GENERATOR
UN.BELL_30321  BEL2,42.10926,-71.451832,NEISO,GENERATOR
UN.SYKES_RD13.8FLRV,41.74040064,-71.1159722,NEISO,GENERATOR
UN.MYSTIC  18.1MYS8,42.3917,-71.0667,NEISO,GENERATOR
UN.MYSTIC  18.1MYS9,42.3917,-71.0667,NEISO,GENERATOR
UN.GR_RIDGE16  GRAN,42.904715,-71.424034,NEISO,GENERATOR
UN.RISE    18.0RISE,41.8017,-71.5186,NEISO,GENERATOR
UN.NEW_ENER18.0NEWE,43.1047,-70.8044,NEISO,GENERATOR
UN.KENDALL 18.0KEN4,42.3633,-71.0792,NEISO,GENERATOR
UN.EDGAR   18.0EDGR,42.24054749,-70.96491639,NEISO,GENERATOR
UN.W_SPRFLD13.8WSG1,42.09091032,-72.63484588,NEISO,GENERATOR
UN.W_SPRFLD13.8WSG2,42.09091032,-72.63484588,NEISO,GENERATOR
UN.W_SPRFLD13.8SPRF,42.09091032,-72.63484588,NEISO,GENERATOR
UN.WINSLOW 34.5UNAH,44.5489,-69.6169,NEISO,GENERATOR
UN.FLORNCE 46  BLDN,44.052257,-73.17605,NEISO,GENERATOR
UN.BARRE_VT34.5DODF,44.20562695,-72.51837277,NEISO,GENERATOR
UN.FLORNCE 46  HNTG,43.708194,-73.06293352,NEISO,GENERATOR
UN.BARRE_VT34.5RYGT,44.2131,-72.0572,NEISO,GENERATOR
UN.ESSEX   34.5GORG,44.48122232,-73.11305759,NEISO,GENERATOR
UN.VERGENNE34.5VRGH,44.1790163,-73.24933086,NEISO,GENERATOR
LD.BARRE_VT34.5,44.20562695,-72.51837277,NEISO,LOAD
.H.INTERNAL_HUB,42.49230539,-71.87401832,NEISO,HUB
.Z.MAINE,44.695493,-69.66196,NEISO,ZONE
.Z.NEWHAMPSHIRE,43.693541,-71.473269,NEISO,ZONE
.Z.VERMONT,43.872116,-72.771347,NEISO,ZONE
.Z.CONNECTICUT,41.673576,-72.606249,NEISO,ZONE
.Z.RHODEISLAND,41.708162,-71.573636,NEISO,ZONE
.Z.SEMASS,41.813528,-70.794385,NEISO,ZONE
.Z.WCMASS,42.413492,-72.378835,NEISO,ZONE
.Z.NEMASSBOST,42.358429,-71.059776,NEISO,ZONE
.I.SALBRYNB345 1,46.02077502,-64.99587353,NEISO,INTERFACE
.I.ROSETON 345 1,41.57475,-73.97874,NEISO,INTERFACE
.I.HQ_P1_P2345 5,45.294067,-73.017321,NEISO,INTERFACE
.I.HQHIGATE120 2,45.01464651,-72.9677552,NEISO,INTERFACE
.I.SHOREHAM138 99,40.962132,-72.821324,NEISO,INTERFACE
.I.NRTHPORT138 5,40.923015,-73.342782,NEISO,INTERFACE
LD.CHSTERME46,45.618055,-68.578263,NEISO,LOAD
LD.GRAHAM  46,44.824164,-68.705372,NEISO,LOAD
LD.WASHNGTN34.5,44.675444,-67.546365,NEISO,LOAD
LD.HARRINGT34.5,44.62841791,-67.79242744,NEISO,LOAD
LD.WOBURN  13.8,42.46244947,-71.15416601,NEISO,LOAD
LD.LEXINGTN13.8,42.44517089,-71.26637086,NEISO,LOAD
LD.MYSTIC  115,42.3917,-71.0667,NEISO,LOAD
LD.MYSTIC  24.0,42.3917,-71.0667,NEISO,LOAD
LD.FRAMNGHM13.8,42.26815075,-71.39852938,NEISO,LOAD
LD.WALTHAM 13.8,42.37820615,-71.26316261,NEISO,LOAD
LD.BAKER_ST24.0,42.27326,-71.234815,NEISO,LOAD
LD.PRSPCTBE13.8,,,NEISO,LOAD
LD.K_STREET13.8,42.33940551,-71.03835986,NEISO,LOAD
LD.MBTA    14.4,42.33924492,-71.0313888,NEISO,LOAD
LD.DEER_ISL115,42.3507,-70.9586,NEISO,LOAD
LD.CARVR_ST13.8,42.356784,-71.076618,NEISO,LOAD
LD.CHELSEA 115,42.39305037,-71.06695392,NEISO,N/A
LD.SCOTIA  13.8,42.331862,-71.198689,NEISO,LOAD
LD.BRIGHTON13.8,42.331862,-71.198689,NEISO,LOAD
LD.READING 13.8,42.5088194,-71.12650975,NEISO,LOAD
LD.BURLNGTN13.8,42.47539687,-71.21432527,NEISO,LOAD
LD.HARTWELL13.8,42.47055378,-71.25724062,NEISO,LOAD
LD.TRAPELO 13.8,42.413182,-71.268925,NEISO,LOAD
LD.WATERTWN13.8,42.3745,-71.1792,NEISO,LOAD
LD.NEEDHAM 13.8,42.27144154,-71.23946366,NEISO,LOAD
LD.SPEEN_ST13.8,42.311664,-71.387857,NEISO,LOAD
LD.SUDBURY 13.8,42.337019,-71.39234,NEISO,LOAD
LD.SHERBORN13.8,42.24024158,-71.37202915,NEISO,LOAD
LD.W_FRMHAM13.8,42.26815075,-71.39852938,NEISO,LOAD
LD.MEDWAY  13.8,42.138968,-71.448468,NEISO,LOAD
LD.DOVER_BE13.8,42.25557151,-71.27223757,NEISO,LOAD
LD.WALPOLE 14.4,42.13122544,-71.26819305,NEISO,LOAD
LD.NORWOOD 13.8,42.174652,-71.186887,NEISO,LOAD
LD.CANTN_BE13.8,42.186314,-71.154336,NEISO,LOAD
LD.PLAIN_ST13.8,42.1972294,-70.99929993,NEISO,LOAD
LD.CHURCHIL13.8,42.2087522,-71.0013475,NEISO,LOAD
LD.MASON   34.5,44.04423289,-69.54355192,NEISO,LOAD
LD.NEWCASTL34.5,44.08277524,-69.55795493,NEISO,LOAD
